BRIS  break  Brisim,I break,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I break,I broke,I used to break,I shall break,I would break,that I may break,break,briseadh,briste
brisim,bhris mé,bhrisinn,brisfidh mé,bhrisfinn,go mbrise mé,brisim,breaking,broken
briseann tú,bhris tú,bhristeá,brisfídh tú,bhrisfeá,go mbrise tu,bris,,
briseann sé,bhris sé,bhriseadh sé,brisfidh sé,bhrisfeadh sé,go mbrise sé,briseadh sé,,
brisimid,bhriseamar,bhrisimis,brisfimid,bhrisfimis,go mbrisimid,brisimis,,
briseann sibh,bhris sibh,bhriseadh sibh,brisfidh sibh,bhrisfeadh sibh,go mbrise sibh,brisigi,,
briseann siad,bhris siad,bhrisidis,brisfidh siad,bhrisfidis,go mbrise siad,brisidis,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
bristear,briseadh,bhristi,brisfear,bhrisfi,go mbristear,bristear,,
somebody breaks,somebody broke,sby. used to break,somebody will break,sby. would break,may somebody break,let somebody break,,
Diúltach,Dúiltach,Diúltach,Dúiltach,Dúiltach,Dúiltach,Dúiltach,,
he does not break,he did not break,he used not break,he will not break,he would not break,may he not break,do not break,,
ní bhriseann sé,nior bhris sé,ní bhriseadh sé,ní bhrisfidh sé,ni bhrisfeadh sé,nár bhrise sé,ná bris,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he break?,did he break?,used he break?,will he break?,would he break?,,,,
an mbriseann sé?,ar bhris sé?,an mbriseadh sé?,an mbrisfidh sé?,an mbrisfeadh sé? ,,,,
,,,,,,,,
,,,,,,,,
similar to BRIS.,,,,,,,,
Bual,"beat, strike",buailim,,,,,,
Caill   , lose,caillim,,,,,,
Caith ,throw,caithim,,,,,,
Creid  ,believe,creidim,,,,,,
Cuir    ,"put, send",cuirim,,,,,,
Goid   , steal,goidim,,,,,,
Múin,teach,múinim,,,,,,
Rith,run,rithim,,,,,,
Scaip,scatter,scaipim,,,,,,
Tit,fall,titim,,,,,,
Troid,fight,troidim,,,,,,
Tuig,understand,tuigim,,,,,,
,,,,,,,,
,,,,,,,,
