DÓIGH burn   Dóim / burn.,,,,,,,,,
,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. CQINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,
I burn,I burned,I used to burn,I shall burn,I would burn,that I may burn,burn,burning,burnt,
dóim,dhóigh mé,dhóinn,dófaidh mé,dhófainn,go ndó mé,dóim,dó,dóite,
dónh tú,dhóigh tú,dhóiteá,dófaidh tú,dhófá,go ndó tú,dóigh,,,
dónn sé,dhóigh sé,dhódh sé,dófaidh sé,dhófadh sé,go ndó sé,dódh sé,,,
dóimid,dhómar,dhóimis,dófaimid,dhófaimis,go ndóimid,dóimis,,,
dónn sibh,dhóigh sibh,dhódh sibh,dófaidh sibh,dhófadh sibh,go ndó sibh,dóigí,,,
dónn siad,dhóigh siad,dhóidís,dófaidh siad,dhófaidís,go ndó siad,dóidís,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
somebody burns,somebody burned,sby. used to burn,somebody will burn,sby. would burn,may somebody burn,let somebody burn,,,
dóitear,dódh,dhóití,dófar,dhófaí,go ndóitear,dóitear,,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,,
he does not burn,he did not burn,he used not burn,he will not burn,he would not burn,may he not burn,do not burn,,,
ni dhónn sé,níor dhóigh sé,ní dhódh sé,ní dhófaidh sé,ní dhófadh sé,nár dhó sé,ná dóigh,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
does he burn?,did he burn?,used he burn?,will he burn?,would he burn?                                                            ,,,,,
an ndónn sé?,ar dhóigh sé?,an ndódh sé?,an ndófaidh sé?,an ndófadh sé?,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Verbs similar to DÓIGH.,,,,,,,,,
,,,,,,,,,
Beoigh   ,"liven, animate",beoim,,,,,,,
Breoigh ,sicken,breoim,,,,,,,
Clóigh   ,print,clóim,,,,,,,
Dreoigh,"wither, rot",dreoim,,,,,,,
Feoigh   ,"wither, decay",feoim,,,,,,,
Reoigh  ,freeze,reoim,,,,,,,
