,,,,,,,,
"CRÁIGH annoy, torment   Cráim  / annoy.",,,,,,,,
,,,,,,,,
LÁITH., CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I annoy,I annoyed,I used to annoy,I shall annoy,I would annoy,that I may annoy,annoy,annoying,annoyed
cráim,chráigh mé,chráinn,cráfaidh mé,chráfainn,go gcrá mé,cráim,crá,cráite
cránn tú,chráigh tú,chráiteá,cráfaidh tú,chráfá,go gcrá tú',cráigh,,
cránn sé,chráigh sé,chrádh sé,cráfaidh sé,chfáfadh sé,go gcrá sé,crádh sé,,
cráimid,chrámar,chráimis,cráfaimid,chráfaimis,go gcráimid,cráimis,,
cránn sibh,chráigh sibh,chrádh sibh,cráfaidh sibh,chráfadh sibh,go gcrá sibh,cráigí,,
cránn siad,chráigh siad,chráidís,cráfaidh siad,chráfaidís,go gcrá siad,cráidís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody annoys,somebody annoyed,sby. used to annoy,somebody will annoy,sby. would annoy,may sby. annoy,let somebody annoy,,
cráitear,crádh,chráití,cráfar,chráfaí,go gcráitear,cráitear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diultach,Diúltach,,
he does not annoy,he did not annoy,he used not annoy,he will not annoy,he would not annoy,may he not annoy,do not annoy,,
ní chránn sé,níor chráigh sé,m' chrádh sé,ní chráfaidh sé,tu' chráfadh sé,nár chrá sé,ná cráigh,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he annoy?,did he annoy?,used he annoy?,will he annoy?,Would he annoy?,,,,
an gcránn sé?,ar chráigh sé?,an gcrádh sé?,an gcráfaidh sé?,an gcráfadh sé?    ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to CRÁIGH,,,,,,,,
Báigh,drown , báim,,,,,,
Cneáigh,wound,cneáim,,,,,,
Sáigh     ,"stab, thrust",sáim,,,,,,
Leáigh ,melt,leáim,,,,,,
