CRÚIGH milk   Crúim  / milk,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
/ milk,/ milked,/ used to milk,/ shall milk,/ would milk,that I may milk,milk,milking,milked
crvdm,chrúigh mé,chrúinn,crúfaidh mé,chrúfainn,go gcrú mé,cruim,crú,crúite
crúnn tú,chrúigh tú,chrúiteá,crúfaidh tú,chrúfá,go gcrú tú,crúigh,,
crúnn sé,chrúigh sé,chrúdh sé,crúfaidh sé,chrúfadh sé,go gcrú sé,crúdh sé,,
crúimid,chrúmar,chrúimis,crúfaimid,chrúfaimis,go gcrúimid,crúimis,,
crúnn sibh,chrúigh sibh,chrúdh sibh,crúfaidh sibh,chrúfadh sibh,go gcrú sibh,crúigí,,
crúnn siad,chrúigh siad,chrúidís,crúfaidh siad,chrúfaidís,go gcrú siad,crúidís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody milks,somebody milked,sby. used to milk,somebody will milk,sby. would milk,may sby. milk,let somebody milk,,
crúitear,crúdh,chrúití,crúfar,chrúfaí,go gcruitear,crúitear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not milk,he did not milk,he used not milk,he will not milk,he would not milk,may he not milk,do not milk,,
ní chrúnn sé,níor chrúigh sé,ní chrúdh sé,ní chrúfaidh sé,ní chrúfadh sé,nár chrú sé,ná crúigh,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he milk?,did he milk?,used he milk?,will he milk?,would he milk?,,,,
an gcrúnn sé,ar chrúigh sé?,an gcrúdh sé?,an gcrúfaidh sé?,an gcrúfadh sé?    ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to CRÚIGH.,,,,,,,,
,,,,,,,,
Bmigh ,"bruise, press",brúim,,,,,,
,,,,,,,,
Iiúigh  ,shout            ,liúim,,,,,,
,,,,,,,,
Súigh   , suck  súim,súim,,,,,,
