NIGH   wash   Nim  / wash.,,,,,,,,
,,,,,,,,
Briathra na Gaeilge,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁ1S.,M. COINN.,M. FOSH. LAITH.,M. ORD.,AINM BRIATHRA,AIDIACHT BHRIATH.
/ wash,/ washed,/ used to wash,/ shall wash,/ would wash,that I may wash,wash,washing,washed
ním,nigh mé,nínn,nfidh mé,nífinn,go ní mé,ním,ní,nite
níonn tú,nigh tú,niteá,nífidh tú,nífeá,go ní tú,nigh,,
níonn sé,nigh sé,níodh sé,nífidh sé,nífeadh sé,go ní sé,níodh sé,,
nímíd,níomar,nímis,nífimid,nífímis,go nímid,nímis,,
níonn sibh,nigh sibh,níodh sibh,nífidh sibh,nífeadh sibh,go ní sibh,nígi,,
níonn siad,nigh siad,nídís,nífidh siad,nífídís,go ní siad,nídís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody washes,somebody washed,sby. used to wash,somebody will wash,sby. would wash,may sby. wash,let somebody wash,,
nitear,níodh,nití,nífear,nífí,go nitear,nitear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
ní níonn sé,níor nigh sé,ní níodh sé,ní nífidh sé,ní nífeadh sé,nár ní sé,ná nigh,,
he does not wash,he did not wash,he used not wash,he will not wash,he would not wash,may he not wash,do not wash,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,-,
an níonn sé?,ar nigh sé?,an níodh sé?,an nífidh sé?,an nífeadh sé?   ,,,,
does he wash?,did he wash?,used he wash?,will he wash?,would he wash?,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to NIGH.,,,,,,,,
,,,,,,,,
Bligh     milk          blim,,,,,,,,
,,,,,,,,
Cloigh   overcome   cloim,,,,,,,,
,,,,,,,,
Figh     weave        fim,,,,,,,,
,,,,,,,,
Guigh   pray          guim,,,,,,,,
,,,,,,,,
Ligh      lick           lim,,,,,,,,
,,,,,,,,
Luigh    lie down   luim,,,,,,,,
,,,,,,,,
Maigh    boast        maim,,,,,,,,
,,,,,,,,
Snoigh   carve        snoim,,,,,,,,
,,,,,,,,
Suigh    sit            suim,,,,,,,,
,,,,,,,,
Snigh    flow         sm'm,,,,,,,,
