SÁBHÁIL  save   Sábhálaim   / save.,,,,,,,,,
,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,
I save,I saved,I used to save,I shall save,I would save,that I may save,save,saving,saved,
sábhálaim,shábháil mé,shábhálainn,sábhálfaidh mé,shábhálfainn,go sábhála mé,sábhálaim,sábháil,sábháilte,
sábhálann tú,shábháil tú,shábháilteá,sábhálfaidh tú,shábhálfá,go sábhála tú,sábháil,,,
sábhálann sé,shábháil sé,shábháladh sé,sábhálfaidh sé,shábhálfadh sé,go sábhála sé,sábháladh sé,,,
sábhálaimid,shábhálamar,shábháJaimis,sábhálfaimid,shábhálfaimis,go sábhálaimid,sábhálaimis,,,
sábhálann sibh,shábháil sibh,shábháladh sibh,sábhálfaidh sibh,shábhálfadh sibh,go sábhála sibh,sábhálaigí,,,
sábhálann siad,shábháil siad,shábhálaidís,sábhálfaidh siad,shábhálfaidís,go sábhála siad,sábhálaidís,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
somebody saves,somebody saved,sby. used to save,somebody will save,sby. would save,may sby. save,let somebody save,,,
sábháiltear,sábháladh,shábháiltí,sábhálfar,shábhálfaí,go sábháiltear,sábháiltear,,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diultach,Diúltach,,,
he does not save,he did not save,he used not save,he will not save,he would not save,may he not save,do not save,,,
m' shábhálann sé,níor shábháil sé,m' shábháladh sé,m' shábhálfaidh sé,m' shábhálfadh sé,nár shábhála sé,ná sábháil,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
does he save?,did he save?,used he save?,will he save?, would he save?,,,,,
an sábhálann sé?,ar shábháa sé?,an sábháladh sé?,an sábhálfaidh sé?,an sábhálfadh sé?  ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Verbs similar to SABHAIL.,,,,,,,,,
,,,,,,,,,
Bácáil       bake                 bácálaim,,,,,,,,,
,,,,,,,,,
Cniotáil    knit                  cniotálaim,,,,,,,,,
,,,,,,,,,
Marcáil     mark                marc&aim,,,,,,,,,
,,,,,,,,,
Sóinseáil  change money   sóinseálaim,,,,,,,,,
,,,,,,,,,
"Spáráil      spare,  save   spárálaim",,,,,,,,,
,,,,,,,,,
Robáil      rob             robálaim,,,,,,,,,
,,,,,,,,,
Tairneáil   nail             tairneálaim,,,,,,,,,
,,,,,,,,,
Vótáil       vote            vótálaim,,,,,,,,,
,,,,,,,,,
