,,,,,,,,
ORDAIGH  order  Ordaim I order.,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I order,I ordered,I used to order,I shall order,I would order,that I may order,order,ordering,ordered
ordaim,d'ordaigh mé,d'ordainn,ordóidh mé,d'ordóinn,go n-ordaí mé,ordaim,ordú,ordaithe
ordaíonn tú,d'ordaigh tú,d'ordaíteá,ordóidh tú,d'ordófá,go n-ordaí tú,ordaigh,,
ordaíonn sé,d'ordaigh sé,d'ordaiodh sé,ordóidh sé,d'ordódh sé,go n-ordaí sé,ordaiodh sé,,
ordaímid,d'ordaíomar,d'ordaímis,ordóimid,d'ordóimis,go n-ordaimid,ordaímis,,
ordaíonn sibh,d'ordaigh sibh,d'ordaiodh sibh,ordóidh sibh,d'ordódh sibh,go n-ordaí sibh,ordaígí,,
ordaíonn siad,d'ordaigh siad,d'ordaídís,ordóidh siad,d'ordóidís,go n-ordaí siad,ordaídís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody orders,somebody ordered,sby. used to order,somebody will order,sby. would order,may sby. order,let somebody order,,
ordaítear,ordaíodh,d'ordaiti,ordófar,d'ordófaí,go n-ordaitear,ordaítear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diultaeh,Diúltach,,
he does not order,he did not order,"he, used not order",he will not order,he would not order,may he not order,do not order,,
ní ordaíonn sé,níor ordaigh sé,ni ordaiodh sé,ní ordóidh sé,ní ordódh sé,nár ordaí sé,ná hordaigh,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he order?,did he order?,used he order?,will he order?,would he order?,,,,
an ordaíonn sé?,ar ordaigh sé?,an ordaiodh sé?,an ordóidh sé?,an ordódh sé?    ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to ORDA,IGH.,,,,,,,
Admhaigh,admit    admhaim,Iompaigh    turn,iompaim,,,,,
Aontaigh,agree     aontaim,Ionsaigh     attack,ionsaim,,,,,
Ardaigh,raise      ardaim,Ullmhaigh  prepare,ullmhaim,,,,,
Éalaigh,escape   éalaím,,,,,,,
