BAILIGH gather   Bailim   I gather.,,,,,,,,,
,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,
I gather,I gathered,I used to gather,I shall gather,I would gather,that I may gather,gather,gathering,gathered,
bailim,bhailigh mé,bhailinn,baileoidh mé,bhaileoinn,go mbailí mé,bailim,baílíú,bailithe,
bailíonn tú,bhailigh tú,bhailíteá,baileoidh tú,bhaileofá,go mbailí tu,bailigh,,,
bailíonn sé,bhailigh sé,bhailíodh sé,baileoidh sé,bhaileodh sé,go mbailí sé,bailiodh sé,,,
bailímid,bhailíomar,bhailímis,baileoimid,bhaileoimis,go mbailimid,bailimis,,,
bailionn sibh,bhailigh sibh,bhailíodh sibh,baileoidh sibh,bhaileodh sibh,go mbaili sibh,bailfgi,,,
bailionn siad,bhailigh siad,bhailídís,baileoidh siad,bhaileoidis,go mbailí siad,bailidis,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
somebody gathers,somebody gathered,sby. used to gather,somebody will gather,sby. would gather,may sby. gather,let somebody gather,,,
bailítear,bailiodh,bhailítí,baileofar,bhaileofai,go mbailitear,bailitear,,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,,
he does not gather,he did not gather,he used not gather,he will not gather,he would not gather,may he not gather,do not gather,,,
ní bhailíonn sé,níor bhailigh sé,ní bhailiodh. sé,ní bhaileoidh sé,ní bhaileodh sé,nár bhailí sé,ná bailigh,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
does he gather?,did he gather?,used he gather?,will he gather?, would he gather?,,,,,
an mbaílíonn sé?,ar bhailigh sé?,an mbailíodh sé?,an mbaileoidh sé?,an mbaileodh sé?   ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Verbs similar to BAILIGH.,,,,,,,,,
Ceistigh  question,ceistim,,,,,,,,
Cuidigh   help,puidim,,,,,,,,
Deisigh   fix,deisim,,,,,,,,
Duisigh   awake,dúisírn,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Eirigh      rise               éirím,,,,,,,,,
,,,,,,,,,
Maisigh    decorate        maisim,,,,,,,,,
,,,,,,,,,
Mtnigh    explain          minim,,,,,,,,,
,,,,,,,,,
"Réitigh    settle, solve   réitím",,,,,,,,,
