"AISTRIGH   change, translate   Aistrim / change.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
LAITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATR,AIDIACHT BHRIATH.,
I change,I changed,I used to change,I shall change,I would change,that I may change,change,changing,changed,
aistrim,d'aistrigh mé,d'aistn'nn,aistreoidh mé,d'aistreoinn,go n-aistrí mé,aistrím,aistriú,aistrithe,
aistríonn tú,d'aistrigh tit,d'aistríteá,aistreoidh tú,d'aistreofá,go n-aistrí tu,aistrigh,,,
aistríonn sé,d'aistrigh sé,d'aistríodh sé,aistreoidh sé,d'aistreodh sé,go n-aistrí sé,aistríodh sé,,,
aistrímid,d'aistríomar,d'aistrímis,aistreoimid,d'aistreoimis,go n-aistrímid,aistrímis,,,
aistríonn sibh,d'aistrigh sibh,d'aistríodh sibh,aistreoidh sibh,d'aistreodh sibh,go n-aistrí sibh,aistrígí,,,
aistn'onn siad,d'aistrigh siad,d'aistrídís,aistreoidh siad,d'aistreoidis,go n-aistrí siad,aistrídís,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
aístrítear,somebody changed,sby. used to change,somebody will change,sby. would change,may sby. change,let somebody change,,,
somebody changes,aistriodh,d'aistn'tí,aistreofar,d'aistreofai,go n-aistritear,aistrítear,,,
Diultach,Diultach,Diúltach,Diultach,Diúltach,Diúltach,Diultach,,,
ní aistríonn sé,he did not change,he used not change,he will not change,he would not change,may he not change,do not change,,,
he does not change,níor aistrigh sé,ní aistriodh sé,ni aistreoidh sé,ní aistreodh sé,nár aistrí sé,ná haistrigh,,,
,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
Ceisteach,did he change?,used he change?,will he change?,would he change?,,,,,
does he change?,ar aistrigh sé?,an aistriodh sé?,an aistreoidh sé?,an aistreodh sé?   ,,,,,
an aistn'onn sé?,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Verbs similar to AISTRIGH.,,,,,,,,,
,,,,,,,,,
"Aimsigh   hit, aim             aimsim",,,,,,,,,
,,,,,,,,,
Aiséirigh  rise again           aiséirím,,,,,,,,,
,,,,,,,,,
Ainmnigh name                ainmnim,,,,,,,,,
,,,,,,,,,
Eirigh    rise                éirím,,,,,,,,,
,,,,,,,,,
Imigh    go                  imim,,,,,,,,,
,,,,,,,,,
"Impigh  beg, implore   impim",,,,,,,,,
