"CEANGAIL   tie, bind   Ceanglaim   / tie.",,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LAITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I tie,I tied,I used to tie,I shall tie,I would tie,that I may tie,tie,tying,tied
ceanglaim,cheangail mé,cheanglainn,ceanglóidh mé,cheanglóinn,go gceanglaí mé,ceanglaim,ceangal,ceangailte
ceanglaíonn tú,cheangail tú,cheanglaíteá,ceanglóidh tú,cheanglófá,go gceanglaí tú,ceangail,,
ceanglaíonn sé,cheangail sé,cheanglaíodh sé,ceanglóidh sé,cheanglódh sé,go gceanglaí sé,ceanglaiodh sé,,
ceanglaimid,cheanglaiomar,cheanglaimis,ceanglóimid,cheanglóimis,go gceanglaimid,ceanglaírnis,,
ceanglaionn sibh,cheangail sibh,cheanglaiodh sibh,ceanglóidh sibh,cheanglódh sibh,go gceanglai sibh,ceanglaígí,,
ceanglaionn siad,cheangail siad,cheanglaídís,ceanglóidh siad,cheanglóidís,go gceanglai siad,ceanglaídís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody ties,somebody tied,sby. used to tie,somebody will tie,sby. would tie,may sby. tie,let somebody tie,,
ceanglaitear,ceanglaiodh,cheanglaiti,ceanglófar,cheanglófaí,go gceanglaitear,ceanglaitear,,
Diúltach,Diúltach,Diúltach,Diultach,Diúltach,Diúltach,Diúltach,,
he does not tie,he did not tie,he used not tie,he will not tie,he would not tie,may he not tie,do not tie,,
ní cheanglaíonn sé,níor cheangail sé,ní cheanglaíodh sé,ní cheanglóidh sé,ní cheanglódh sé,nár cheanglaí sé,ná ceangail,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he tie?,did he tie?,used he tie?,will he tie?,would he tie?,,,,
an gceanglaíonn sé?,ar cheangail sé?,an gceanglaíodh sé?,an gceanglóidh sé?,an gceanglódh sé?    ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to CEANGAIL.,,,,,,,,
,,,,,,,,
Eitil        fly          eitliiji,,,,,,,,
,,,,,,,,
Codail     sleep      codlaim,,,,,,,,
Cuimil     rub         cuimlim,,,,,,,,
,,,,,,,,
Muscail  awake,músclaím,,,,,,,
Oscail     open,osclaím,,,,,,,
Tochail   dig,tochlaím,,,,,,,
