BAGAIR threaten   Bagraim  / threaten.,,,,,,,,
,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LA1TH.,M. ORD.,AINM BRIATH.,AINM BHRIATH.
I threaten,I threatened,I used to threaten,I shall threaten,I would threaten,that I may threaten,threaten,threatening,threatened
bagraim,bhagair mé,bhagrainn,bagróidh mé,bhagróinn,go mbagrai mé,bagraim,bagairt,bagartha
bagraíonn tú,bhagair tú,bhagraíteá,bagróidh tú,bhagrófá,go mbagraí tú,bagair,,
bagraíonn sé,bhagair sé,bhagraíodh sé,bagróidh sé,bhagródh sé,go mbagraí sé,bagraiodh sé,,
bagraímid,bhagraiomar,bhagraímis,bagróimid,bhagróimis,go mbagraimid,bagraimis,,
bagraíonn sibh,bhagair sibh,bhagraíodh sibh,bagróidh sibh,bhagródh sibh,go mbagrai sibh,bagraigi,,
bagraíonn siad,bhagair siad,bhagraídís,bagróidh siad,bhagróidís,go mbagrai siad,bagraidis,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
sby. threatens,sby. threatened,sby. used to threaten,sby. will threaten,sby. would threaten,may sby. threaten,let somebody threaten,,
bagraítear,bagraiodh,bhagraítí,bagrófar,bhagrófaí,go mbagraitear,bagraitear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not threaten,he did not threaten,he used not threaten,he will not threaten,he would not threaten,may he not threaten,do not threaten,,
ní bhagraíonn sé,níor bhagair sé,ní bhagraíodh sé,ní bhagróidh sé,ní bhagródh sé,nár bhagraí sé,ná bagair,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he threaten?,did he threaten?,used he threaten?,will he threaten?,would he threaten?,,,,
an mbagraíonn sé?,ar bhagair sé?,an mbagraíodh sé?,an mbagróidh sé?,an mbagródh sé?   ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to BAGAIR.,,,,,,,,
,,,,,,,,
Agair      avenge       agraim,,,,,,,,
,,,,,,,,
Freagair  answer       freagraim,,,,,,,,
,,,,,,,,
Fógair     announce   fógraím,,,,,,,,
,,,,,,,,
Imir       play           imrim,,,,,,,,
,,,,,,,,
Iompair   carry       iompraim,,,,,,,,
íobair     sacrifice   íobraím,,,,,,,,
Labhair  speak       labhraim,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
