,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I tell,I told,I used to tell,I shall tell,I would tell,that I may tell,tell,telling,told
insim,d'inis mé,d'insinn,inseoidh mé,d'inseoinn,go n-insí mé,insim,insint,inste
insíonn tú,d'inis tú,d'insíteá,inseoidh tú,d'inseofá,go n-insí tú,inis,,
insíonn sé,d'inis sé,d'insíodh sé,inseoidh sé,d'inseodh sé,go n-insí sé,insiodh sé,,
insimid,d'insiomar,d'insímis,inseoimid,d'inseoimis,go n-insimid,insimis,,
insionn sibh,d'inis sibh,d'insíodh sibh,inseoidh sibh,d'inseodh sibh,go n-insi sibh,insígí,,
insionn siad,d'inis siad,d'insídís,inseoidh siad,d'inseoidis,go n-insi siad,insídís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody tells,somebody told,sby. used to tell,somebody will tell,sby. would tell,may sby. tell,let somebody tell,,
insítear,insíodh,d'insítí,inseofar,d'inseofaí,go n-insítear,insítear,,
Diultach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not tell,he did not tell,he used not tell,he will not tell,he.would not tell,may he not tell,do not tell,,
ní insíonn sé,níor inis sé,ní insíodh sé,ni inseoidh sé,ní inseodh sé,nár insí sé,ná hinis,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he tell?,did he tell?,used he tell?,will he tell?,would he tell?,,,,
an insionn sé?,ar inis sé?,an insiodh sé?,an inseoidh sé?,an inseodh sé?  ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verb similar to INIS but not abbreviated.,,,,,,,,
,,,,,,,,
"Aithris  recite, imitate   aithrisim",,,,,,,,
,,,,,,,,
