"CO SAIN defend, cost   Cosnaim  / defend.",,,,,,,,
,,,,,,,,
LÁ1TH.,CAITE,GH. CHAITE,FÁ1S.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I defend,I defended,I used to defend,I shall defend,I would defend,that I may defend,defend,defending,defended
cosnaim,chosain mé,chosnainn,cosnóidh mé,chosnóinn,go gcosnaí mé,cosnaim,cosaint,cosanta
cosnaíonn tú,chosain tú,chosnaíteá,cosnóidh tú,chosnófá,go gcosnaí tú,cosain,,
cosnaíonn sé,chosain sé,chosnaíodh sé,cosnóidh sé,chosnódh sé,go gcosnai sé,cosnaiodh sé,,
cosnaímid,chosnaiomar,chosnaímis,cosnóimid,chosnóimis,go gcosnaimid,cosnaímis,,
cosnaíonn sibh,chosain sibh,chosnaíodh sibh,cosnóidh sibh,chosnódh sibh,go gcosnai sibh,cosnaígí,,
cosnaíonn siad,chosain siad,chosnaídís,cosnóidh siad,chosnóidís,go gcosnai siad,cosnaídís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody defends,somebody defended,sby. used to defend,somebody will defend,sby. would defend,may sby. defend,let somebody defend,,
cosnaítear,cosnaíodh,chosnaítí,cosnófar,chosnófaí,go gcosnaitear,cosnaítear,,
Diúltach,Diultach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not defend,he did not defend,he used not defend,he will not defend,he would not defend,may he not defend,do not defend,,
ní chosnaíonn sé,nior chosain sé,ní chosnaíodh sé,ní chosnóidh sé,ní chosnódh sé,nár chosnaí sé,ná cosain,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he defend?,did he defend?,used he defend?,will he defend?,would he defend?,,,,
an gcosnaíonn sé?,ar chosain sé?,an gcosnaíodh sé?,an gcosnóidh sé?,an gcosnódh sé?   ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to COSAIN.,,,,,,,,
,,,,,,,,
Aithin       recognise   aithnim,,,,,,,,
,,,,,,,,
Cogain       chew         cognaim,,,,,,,,
,,,,,,,,
Tionscain   institute    tionscnaim,,,,,,,,
