,,,,,,,,,
BRIATHRA NEAMHRIALTA   Irregular Verbs,,,,,,,,,
,,,,,,,,,
CLOIS hear Cloisim I hear.,,,,,,,,,
,,,,,,,,,
TAR   come   Tagaim  / come.,,,,,,,,,
,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FAIS.,M. COINN.,M. ORD.,M. FOSH. LAITH.,AINM BRIATH.,AIDIACHT BHRIATH.,
I come,I came,I used to come,I shall come,I would come,come,that I may come,coming,come,
tagaim,tháinig mé,thagainn,tiocfaidh mé,thiocfairm,tagaim,go dtaga mé,teacht,tagtha,
tagann tú,tháinig tú,thagtá,tiocfaidh tú,thiocfá,tar,go dtaga tú,,,
tagann sé,tháinig sé,thagadh sé,tiocfaidh sé,thiocfadh sé,tagadh sé,go dtaga sé,,,
tagaimid,thángamar,thagaimis,tiocfaimid,thiocfaimis,tagaimis,go dtagaimid,,,
tagann sibh,tháinig sibh,thagadh sibh,tiocfaidh sibh,thiocfadh sibh,tagaigí,go dtaga sibh,,,
tagann siad,tháinig siad,thagaidis,tiocfaidh siad,thiocfaidfs,tagaídís,go dtaga siad,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
somebody comes,somebody came,sby. used to come,somebody will come,sby. would come,let somebody come,may sby. come,,,
tagtar,thángthas,thagtaí,tiocfar,thiocfaí,tagtar,go dtagtar,,,
Diúltach,Diúltach,Diultach,Diultach,Diultach,Diultach,Diultach,,,
he does not come,he did not come,he used not come,he will not come,he would not come,do not come,may he not come,,,
ní thagann sé,níor tháinig sé,ni thagadh sé,ni thiocfaidh sé,ni thiocfadh sé,ná tar,nár thaga sé,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
does he come?,did he come?,used he come?,will he come?,would he come?,,,,,
an dtagann sé?,ar tháinig sé?,an dtagadh sé?,an dtiocfaidh sé?,an dtiocfadh sé?,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
