"DEAN do, make   Déanaím  / do.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁ1TH.,M. ORD.,AINM BRIATH.,AID1ACHT BHRIATH.
I do,I did,I used to do,I shall do,I would do,that I may do,do,doing,done
déanaim,rinne mé,dhéanainn,déanfaidh mé,dhéanfainn,go ndéana mé,déanaim,déanamh,déanta
déanann tú,rinne tú,dhéantá,déanfaidh tú,dhéanfá,go ndéana tú,déan,,
déanann sé,rinne sé,dhéanadh sé,déanfaidh sé,dhéanfadh sé,go ndéana sé,déanadh sé,,
déanaimid,rinneamar,dhéanaimis,déanfaimid,dhéanfaimis,go ndéanaimid,déanaimis,,
déanann sibh,rinne sibh,dhéanadh sibh,déanfaidh sibh,dhéanfadh sibh,go ndéana sibh,déanaigí,,
déanann siad,rinne siad,dhéanaidís,déanfaidh siad,dhéanfaidís,go ndéana siad,déanaidís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody does,somebody did,sby. used to do,somebody will do,somebody would do,may somebody do,let somebody do,,
déantar,rinneadh,dhéantaí,déanfar,dhéanfaí,go ndéantar,déantar,,
Diúltach,Diultach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not do,he did not do,he used not do,he will not do,he would not do,may he not do,do not do,,
ní dhéanann sé,ní dhearna sé,ní dhéanadh sé,ní dhéanfaidh sé,ní dhéanfadh sé,nár dhéana sé,ná déan,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he do?,did he do?,used he do?,will he do?,would he do?,,,,
an ndéanann sé?,an ndearna sé?,an ndéanadh sé?,an ndéanfaidh sé?,an ndéanfadh sé?    ,,,,
,,,,,,,,
,,,,,,,,
"NOTE  In the 'Caite' / did, one may use Dhein mé and Nior dhein mé srl. instead of Rinne",,,,,,,,
mé and Ni dhearna mé srl.,,,,,,,,
