LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I get,I got,I used to get,I shall get,I would get,that I may get,get,getting,got
faighim,fuair. mé,d'fhaighinn,gheobhaidh mé,gheobhainn,go bhfaighe mé,faighim,fail,faighte
faigheann tú,fuair tú,d'fhaighteá,gheobhaidh tú,gheofá,go bhfaighe tú,faigh,,
faigheann sé,fuair sé,d'fhaigheadh sé,gheobhaidh sé,gheobhadh sé,go bhfaighe sé,faigheadh sé,,
faighimid,fuaireamar,d'fhaighimis,gheobhaimid,gheobhaimis,go bhfaighimid,faighimis,,
faigheann sibh,fuair sibh,d'fhaigheadh sibh,gheobhaidh sibh,gheobhadh sibh,go bhfaighe sibh,faighigi,,
faigheann siad,fuair siad,d'fhaighidis,gheobhaidh siad,gheobhaidis,go bhfaighe siad,faighidis,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody gets,somebody got,sby. used to get,somebody will get,sby. would get,may sby. get,let somebody get,,
faightear,fuarthas,d'fhaighti,gheofar,gheofaf,go bhfaightear,faightear,,
Diultach,Diúltach,Diultach,Diultach,Diúltach,Diúltach,Diultach,,
he does not get,he did not get,he used not get,he will not get,he would not get,may he not get,do not get,,
ní fhaigheann sé,ní bhfuair sé,ni fhaígheadh sé,ní bhfaighidh sé,ni bhfaigheadh sé,nár fhaighe sé,ná faigh,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he get?,did he get?,used he get?,will he get?,   would he get?,,,,
an bhfaigheann sé?,an bhfuair sé?,an bhfaigheadh sé?,an bhfaighidh sé?,an bhfaigheadh sé? ,,,,
