TOG take  Tógaim / take,,,,,,,,,,,,
,,,,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FAIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,,,,,
I take,I took,I used to take,I shall take,/ would take,that I may take,take,tógáil,,,,,
tógaim,thóg mé,thógainn,tógfaidh mé,thógfainn,go dtóga mé,tógaim,taking,,,,,
tógann tú,thóg tú,thógtá,tógfaidh tú,thógfá,go dtóga tú,tog,,,,,,
tógann sé,thóg sé,thógadh sé,tógfaidh sé,thógfadh sé,go dtóga sé,tógadh sé,AIDIACHT BHRIATH.,,,,,
tógaimid,thógamar,thógaimis,tógfaimid,thógfaimis,go dtógaimid,tógaimis,tógtha ',,,,,
tógann sibh,thóg sibh,thógadh sibh,tógfaidh sibh,thógfadh sibh,go dtóga sibh,tógaigí,taken,,,,,
tógann siad,thóg siad,thógaidís,tógfaidh siad,thógfaidís,go dtóga siad,tógaidís,,,,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,,,,
somebody takes,somebody took,somebody used to take,somebody will take,sby. would take,may somebody take,let somebody take,,,,,,
tógtar,tógadh,thógtaí,tógfar,thógfaí,go dtógtar,tógtar,,,,,,
Diúltach,Diúltach,Diultach,Diultach,Diultach,Diultach,Diúltach,,,,,,
he does not take,he did not take,he used not take,he will not take,he would not take,may he not take,do not take,,,,,,
ní thógann sé,níor thóg sé,ní thógadh sé,ní thógfaidh sé,ní thógfadh sé,nár thóga sé,ná tóg,,,,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,,,,
does he take?,did he take?,used he take?,will he take?,would he take?,,,,,,,,
an dtógann sé?,ar thóg se?,an dtógadh sé?,an dtógfaidh sé?,an dtógfadh sé?     ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Verbs similar to TÓG,,,,,,,,,,,,
Cas      ,"twist, turn",Casaim,,,,,,,,,,
Cior  ,comb,cioraim,,,,,,,,,,
Cnag    ,knock,cnagaim,,,,,,,,,,
Croch ,hang,crochaim,,,,,,,,,,
Crom ,stoop,cromaim,,,,,,,,,,
Cum   , compose,cumaim,,,,,,,,,,
Diol,sell,diolaim,,,,,,,,,,
Dun,close,dunaim,,,,,,,,,,
Glan,clean,glanaim,,,,,,,,,,
Las,light,lasaim,,,,,,,,,,
Mol,praise,molaim,,,,,,,,,,
Póg,kiss,pogaim,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
