FÉACH look   Féachaim / look.,,,,,,,,,
,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,
I look,I looked,I used to look,I shall look,I would look,that I may look,look,looking,looked,
féachaim,d'fhéach mé,d'fhéachainn,féachfaidh mé,d'fhéachfainn,go bhféacha mé,féachaim,féachaint,féachta,
féachann tú,d'fhéach tú,d'fhéachtá,féachfaidh tú,d'fhéachfá,go bhféacha tú,féach,,,
féachann sé,d'fhéach sé,d'fhéachadh sé,féachfaidh sé,d'fhéachfadh sé,go bhféacha sé,féachadh sé,,,
féachaimid,d'fhéachamar,d'fhéachaimis,féachfaimid,d'fhéachfaimis,go bhféachaimid,féachaimis,,,
féachann sibh,d'fhéach sibh,d'fhéachadh sibh,féachfaidh sibh,d'fhéachfadh sibh,go bhféacha sibh,féachaigí,,,
féachann siad,d'fhéach siad,d'fhéachaidís,féachfaidh siad,d'fhéachfaidís,go bhféacha siad,féachaidís,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
somebody looks,somebody looked,sby. used to look,somebody will look,sby. would look,may somebody look,let somebody look,,,
féachtar,féachadh,d'fhéachtaí,féachfar,d'fhéachfaí,go bhféachtar,féachtar,,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,,
he does not look,he did not look,he used not look,he will not look,he would not look,may he not look,do not look,,,
ní fhéachann sé,níor fhéach sé,ní fhéachadh sé,ní fhéachfaidh sé,ní fhéachfadh sé,nár fhéacha sé,ná féach,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
does he look?,did he look?,used he look?,will he look?,would he look?,,,,,
an bhféachann sé?,ar fhéach sé?,an bhféachadh sé?,an bhféachfaidh sé?,an bhféachfadh sé?,,,,,
,,,,,,,,,
Verbs similar to  FÉACH:,,,,,,,,,
Fág  , leave       ,fágaim,,,,,,,
Fan   ,"wait, stay",fanaim,,,,,,,
Fás  ,grow,fásaim,,,,,,,
Féa,can,féadaim,,,,,,,
Feac   ,"genuflect, bend",feacaim,,,,,,,
Fiuch ,boil,fiuchaim,,,,,,,
