"SCUAB   sweep, brush   Scuabaim   I sweep.",,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I sweep,I swept,I used to sweep,I shall sweep,I would sweep,that I may sweep,sweep,sweeping,swept
scuabaim,scuab mé,scuabainn,scuabfaidh mé,scuabfainn,go scuaba mé,scuabaim,scuabadh,scuabtha
scuabann tú,scuab tú,scuabtá,scuabfaidh tu,scuabfá,go scuaba tú,scuab,,
scuabann sé,scuab sé,scuabadh sé,scuabfaidh sé,scuabfadh sé,go scuaba sé,scuabadh se,,
scuabaimid,scuabamar,scuab aimis,scuabfaimid,scuabfaimis,go scuabaimid,scuabáimis,,
scuabann sibh,scuab sibh,scuabadh sibh,scuabfaidh sibh,scuabfadh sibh,go scuaba sibh,scuabaigi,,
scuabann siad,scuab siad,scuabaidis,scuabfaidh siad,scuabfaidis,go scuaba siad,scuabaidis,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody sweeps,somebody swept,sby. used to sweep,somebody will sweep,shy. would sweep,may somebody sweep,let somebody sweep,,
scuabtar,scuabadh.,scuabtai,scuabfar,scuabfai,go scuabtar,scuabtar,,
Diultach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not sweep,he did not sweep,he used not sweep,he will not sweep,he would not sweep,may he not sweep,do not sweep,,
nf scuabann sé,nior scuab sé,ni scuabadh sé,ni scuabfaidh sé,ni scuabfadh sé,nár scuaba sé,ná scuab,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he sweep?,did he sweep?,used he sweep?,will he sweep?,Would he sweep?,,,,
an scuabann sé?,ar scuab sé?,an scuabadh sé?,an scuabfaidh sé?,an scuabfadh sé?,,,,
,,,,,,,,
Verbs similar to SCUAB.,,,,,,,,
Sciob,snatch,sciobaim,,,,,,
Scréach,screech,scréachaim,,,,,,
Scread,scream,screadaim,,,,,,
Scriobh,write,scriobhaim,,,,,,
Spreag,"urge, incite",spreagaim,,,,,,
Stad,stop,stadaim,,,,,,
,,,,,,,,
NOTE,The letter 'S' is not aspirated (ft) when it is followed by:,"C, F, M, P, T, V.",,,,,,
e.g.,Scuab sé;   Stad sé;  but   Sheas sé.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
