SIÚIL walk  Siulaim  I walk.,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁ1TH.,M. ORD.,ÁINM BRIATH.,AIDIACHT BHRIATH.
I walk,I walked,I used to walk,I shall walk,I would walk,that I may walk,walk,walking,walked
siúlaim,shiúil mé,shiulainn,siúlfaidh mé,shiúlfainn,go siúla mé,siúlaim,siúl,siulta
siúlann tú,shiúil tu,shiúltá,siúlfaidh tú,shiúlfá,go siúla tú,siúil,,
siúlann sé,shiúil sé,shiúladh sé,siúlfaidh sé,shiúlfadh sé,go siúla sé,siúladh sé,,
siúlaimid,shiúlamar,shiúlaimis,siúlfaimid,shiúlfaimis,go siúlaimid,siúlaimis,,
siúlann sibh,shiúil sibh,shiúladh sibh,siúlfaidh sibh,shiúlfadh sibh,go siúla sibh,siúlaigí,,
siúlann siad,shiúil siad,shiúlaidís,siúlfaidh siad,shiúlfaidís,go siúla siad,siúlaidís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,sb.,,
somebody walks,somebody walked,sby. used to walk,somebody will walk,sby. would walk,may somebody walk,let somebody walk,,
siúltar,siuladh,shiúltaí,siúlfar,shiúlfaí,go siultar,siúltar,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diultach,,
he does not walk,he did not walk,he used not walk,he will not walk,he would not walk,may he not walk,do not walk,,
ní shiúlann sé,nior shiúil sé,ni shiúladh sé,ni shiúlfaidh sé,ní shiúlfadh sé,nár shiúla sé,ná siuil,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he walk?,did he walk?,used he walk?,will he walk?,Would he walk?,,,,
an siúlann sé?,ar shiúil sé?,an siúladh sé?,an siúlfaidh sé?,an siúlfadh sé?,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
