"BUAIGH  win, gain   Buaim  / win.",,,,,,,,
,,,,,,,,
Láith.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁ1TH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I win,I won,I used to win,I shall win,I would win,that I may win,win,winning,won
buaim,bhuaigh mé,bhuainn,buafaidh mé,bhuafainn,go mbua mé,buaim,buachan,buaite
buann tu,bhuaigh tú,bhuaiteá,buafaidh tú,bhuafá,go mbua tú,buaigh,,
buann sé,bhuaigh sé,bhuadh sé,buafaidh sé,bhuafadh sé,go mbua sé,buadh sé,,
buaimid,bhuamar,bhuaimis,buafaimid,bhuafaimis,go mbuaimid,buaimis,,
buann sibh,bhuaigh sibh,bhuadh sibh,buafaidh sibh,bhuafadh sibh,go mbua sibh,buaigi,,
buann siad,bhuaigh siad,bhuaidis,buafaidh siad,bhuafaidis,go mbua siad,buaidis,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody wins,somebody won,sby. used to win,somebody will win,sby. would win,may somebody win,let somebody win,,
buaitear,buadh,bhuaití,buafar,bhuafai,go mbuaitear,buaitear,,
Diultach,Diúltach,Diultach,Diultach,Diúltach,Diúltach,Diultach,,
he does not win,he did not win,he used not win,he will not win,he would not win,may he not win,do not win,,
ní bhuann sé,nior bhuaigh sé,"nj,bhuadh sé",ní bhuafaidh sé,ni bhuafadh sé,nár bhua sé,ná buaigh,',
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he win?,did he win? ,used he win?,will he win?,Would he win?,,,,
an mbuann sé?,ar bhuaigh sé?,an mbuadh sé?,an mbuafaidh sé?,an mbuafadh sé?  ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Verbs similar to BUAIGH.,,,,,,,,
,,,,,,,,
Cruaigh  harden          cruaim,,,,,,,,
,,,,,,,,
"Fuaigh   sew, stitch    fuaim",,,,,,,,
