LEIGH read   Léim   / read.,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I read,I read,I used to read,I shall read,I would read,that I may read,read,reading,read
Léim,léigh mé,léinn,léifidh mé,léifinn,go lé mé,léim,léamh,léite
léann tú,léigh tú,léiteá,léifidh tú,léifeá,go lé tú,léigh,,
léann sé,léigh sé,léadh sé,léifidh sé,léifeadh sé,go lé sé,léadh sé,,
léimid,léamar,léimis,léifimid,léifimis,go léimid,léimis,,
léann sibh,léigh sibh,léadh sibh,léifidh sibh,léifeadh sibh,go lé sibh,léigí,,
léann siad,léigh siad,léidís,léifidh siad,léifidís,go lé siad,léidís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody reads,somebody read,sby. used to read,somebody will read,sby. would read,may somebody read,let somebody read,,
léitear,léadh,léití,léifear,léifí,go léitear,léitear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diultach,Diultach,Diúltach,,
he does not read,he did not read,he used not read,he will not read,he would not read,may he not read,do not read,,
ní léann sé?,m'or léigh sé,ní léadh sé,ní léifidh sé,ní léifeadh sé?,nár lé sé,ná léigh,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he read?,did he read?,used he read?,will he read?,would he read?,,,,
an léann sé?,ar léigh sé?,an léadh sé?,an léifidh sé,an léifeadh sé?    ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Luaigh  mention           luaim,,,,,,,,
,,,,,,,,
"Iaigh     close, enclose   iaim",,,,,,,,
,,,,,,,,
Verbs similar to LEIGH.,,,,,,,,
,,,,,,,,
"Éigh     cry aloud, beseech   éim",,,,,,,,
"Pléigh  plead, dispute          pléim",,,,,,,,
,,,,,,,,
"Spréigh  spray, scatter   spréim",,,,,,,,
Téigh     warm               téim,,,,,,,,
