,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FAIS.,M. COINN,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,
I hear,I heard,I used to heat,I shall hear,I would hear,that I may hear,hear,hearing,heard,
cloisim,chuala mé,chloisinn,cloisfidh mé,chloisfinn,go gcloise mé,cloisim,cloisteáil,cloiste,
cloiseann tu,chuala tú,chloisteá,cloisfidh tú,chloisfeá,go gcloise tú,—,,,
cloiseann sé,chuala sé,chloiseadh sé,cloisfidh sé,chloisfeadh sé,go gcloise sé,cloiseadh sé,,,
cloisimid,chualamar,chloisimis,cloisfimid,chloisfimis,go gcloisimid,cloisimis,,,
cloiseann sibh,chuala sibh,chloiseadh sibh,cloisfidh sibh,chloisfeadh sibh,go gcloise sibh,—,,,
cloiseann siad,chuala siad,chloisidis,cloisfidh siad,chloisfidis,go gcloise siad,cloisidis,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
somebody hears,somebody heard,sby. used to hear,somebody will hear,sby. would hear,may sby. hear,let somebody hear,,,
cloistear,chualathas,chloisti,cloisfear,chloisfi,go gcloistear,cloistear,,,
Diultach,Diultach,Diultach,Diultach,Diultach,Diultach,Diultach,,,
he does not hear,he did not hear,he used not hear,he will not hear,he would not hear,may he not hear,let me not hear,,,
ni chloiseann sé,nior chuala sé,ni chloiseadh sé,ni chloisfidh sé,ni chloisfeadh sé,nár chloise sé,ná cloisim,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
does he hear?,did he hear?,used he hear?,will he hear?, would he hear?,,,,,
an gcloiseann sé?,ar chuala sé?,an gcloiseadh sé?,an gcloisfidh sé?,an gcloisfeadh sé? ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"NOTE In the M. ORD. Imperative we can use Éist and Éistigí listen for the 2nd. person sing,",,,,,,,,,
and plural of the verb 'Clois' or 'Cluin'.,,,,,,,,,
