FEIC  see   Feicim  / see.,,,,,,,,,
,,,,,,,,,
LAITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,
I see,I saw,I used to see,I shall see,I would see,that I may see,see,seeing,seen,
feicim,chonaic mé,d'fheicinn,feicfidh mé,d'fheicfinn,go bhfeíce mé,feicim,feiceáfl,feicthe,
feiceann tú,chonaic tú,d'fheicteá,feicfidh tú,d'fheicfeá,go bhfeíce tú,feic,,,
feiceann se,chonaic sé,d'fheiceadh sé,feicfidh sé,d'fheicfeadh sé,go bhfeice sé,feiceadh sé,,,
feicimid,chonaiceamar,d'fheicimis,feicfimid,d'fheicfimis,go bhfeicimid,feicimis,,,
feiceann sibh,chonaic sibh,d'fheiceadh sibh,feicfidh sibh,d'fheicfeadh sibh,go bhfeice sibh,feicigi,,,
feiceann siad,chonaic siad,d'fheicidis,feicfidh siad,d'fheicfidis,go bhfeice siad,feicidis,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,
somebody sees,somebody saw,sby. used to see,somebody will see,sby. would see,may sby. see,let somebody see,,,
feictear,chonacthas,d'fheicti,feicfear,d'fheicfi,go bhfeictear,feictear,,,
Diúltach,Diúltach,Diultach,Diultach,Diúltach,Diultach,Diultach,,,
he does not see,he did not see,he used not see,he will not see,he would not see,may he not see,do not see,,,
ní fheiceann sé,ni fhaca sé,ni fheiceadh sé,ni fheicfidh sé,ní fheicfeadh sé,nár fheice sé,ná feic,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,
does he see?,did he see?,used he see?,will he see?,    would he see?,,,,,
an bhfeiceann sé?,an bhfaca sé?,an bhfeiceadh sé?,an bhfeicfidh se?,an bhfeicfeadh sé?,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
