TÉIGH  go  Téim  I go.,,,,,,,,
,,,,,,,,
ABAIR say   Deirim   / say.,,,,,,,,
,,,,,,,,
LAITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I go,I went,I used to go,I shall go, ,that I may go,go,going,gone
téim,chuaigh mé,théinn,rachaidh mé,rachainn,go dté mé,téim,dul,dulta
téann tú,chuaigh tú,théiteá,rachaidh tú,rachfá,go dté tú,téigh,,
téann sé,chuaigh sé,théadh sé,rachaidh sé,rachadh sé,go dté sé,téadh sé,,
téimid,chuamar,théimis,rachaimid,rachaimis,go dtéimid,téimis,,
téann sibh,chuaigh sibh,théadh sibh,rachaidh sibh,rachadh sibh,go dté sibh,téigí,,
téann siad,chuaigh siad,théidís,rachaidh siad,rachaidis,go dté siad,téidís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody goes,somebody went,sby. used to go,somebody will go,sby. would go,may sby. go,let somebody go,,
téitear,chuathas,théití,rachfar,rachfaí,go dtéitear,téitear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diultach,Diúltach,,
he does not go,he did not go,he used not go,he will not go,he would not go,may he not go,do not go,,
ní théann sé,ní dheachaigh sé,ní íhéadh sé,ni rachaidh sé,ní rachadh sé,nár thé sé,ná téigh,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he go?,did he go?,used he go?,will he go?,would he go?,,,,
an dtéann sé?,an ndeachaigh sé?,an dtéadh sé?,an rachaidh sé?,an rachadh sé?    ,,,,
