,,,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,,
I say,I said,I used to say,I shall say,I would say,that I may say,say,saying,said,,
deirim,dúirt mé,deirinn,déarfaidh mé,déarfainn,go ndeire mé,abraim,rá,ráite,,
deir tú,dúirt tú,deirteá,déarfaidh tú,déarfá,go ndeire tu,abair,,,,
deir sé,dúirt sé,deireadh sé,déarfaidh sé,déarfadh sé,go ndeire sé,abradh sé,,,,
deirimid,dúramar,deirimis,déarfaimid,déarfaimis,go ndeirimid,abraimis,,,,
deir sibh,dúirt sibh,deireadh sibh,déarfaidh sibh,déarfadh sibh,go ndeire sibh,abraigi,,,,
deir siad,dúirt siad,deiridis,déarfaidh siad,déarfaidís,go ndeire siad,abraidis,,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,,
somebody says,somebody said,sby. used to say,somebody will say,sby. would say,may sby. say,let somebody say,,,,
deirtear,dúradh,deirti,déarfar,déarfaí,go ndeirtear,abairtear,,,,
Diúltach,Diúltach,Diultach,Diúltach,Diúltach,Diúltach,Diultach,,,,
he does not say,he did not say,he used not say,he will not say,he would not say,may he not say,do not say,,,,
ni deir sé,ní dúirt sé,ni deireadh sé,ní déarfaidh sé,ní déarfadh sé,nár dheire sé,ná habair,,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,,
does he say?,did he say?,used he say?,will he say?, would he say?,,,,,,
an ndeir sé?,an ndúirt sé?,an ndeireadh sé?,an ndéarfaidh sé?,an ndéarfadh sé?   ,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
