"TABHAIR give, bring   Tugaim / give.",,,,,,,
,,,,,,,
LÁITH.,CAITE,GH. CHA1TE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.
/ give,I gave,/ used to give,/ shall give,/ would give,that I may give,give,tabhairt
tugaim,thug mé,thugainn,tabharfaidh mé,thabharfainn,go dtuga mé,tugaim,giving
tugann tú,thug tu,thugtá,tabharfaidh tú,thabharfá,go dtuga tú,tabhair,
tugann sé,thug sé,thugadh sé,tabharfaidh sé,thabharfadh sé,go dtuga sé,tugadh sé,AIDIACHT BHRIATH.
tugaimid,thugamar,thugaimis,tabharfaimid,thabharfaimis,go dtugaimid,tugaimis,tugtha
tugann sibh,thug sibh,thugadh sibh,tabharfaidh sibh,thabharfadh sibh,go dtuga sibh,tugaigi,given
tugann siad,thug siad,thugaidis,tabharfaidh siad,thabharfaidis,go dtuga siad,tugaidis,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,
somebody gives,somebody gave,sby. used to give,somebody will give,sby. would give,may sby. give,let somebody give,
tugtar,tugadh,thugtai,tabharfar,thabharfai,go dtugtar,tugtar,
Diúltach,Diúltach,Diúltach,Diúltach,Diultach,Diúltach,Diúltach,
he does not give,he did not give,he used not give,he will not give,he would not give,may he not give,do not give,
ní thugann sé,nior thug sé,ní thúgadh sé,ní thabharfaidh sé,ni thabharfadh sé,nár thuga sé,ná tabhair,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,
does he give?,did he give?,used he give?,will he give?,would he give?,,,
an dtugann sé?,ar thug sé?   .,an dtugadh sé?,an dtabharfaidh sé?,an dtabharfadh sé?   ,,,
