ITH eat   Ithim   / eat.,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I eat,I ate,I used to eat,I shall eat,I would eat,that I may eat,eat,eating,eaten
ithim,d'ith mé,d'ithinn,íosfaidh mé,d'iosfainn,go n-ithe mé,ithim,ithe,ite
itheann tu,d'ith tú,d'iteá,íosfaidh tu,d'íosfá,go n-ithe tu,ith,,
itheann sé,d'ith sé,d'itheadh sé,íosfaidh sé,d'íosfadh sé,go n-ithe sé,itheadh sé,,
ithimid,d'itheamar,d'ithimis,iosfaimid,d'íosfaimis,go n-ithirnid,ithimis,,
itheann sibh,d'ith sibh,d'itheadh sibh,iosfaidh sibh,d'iosfadh sibh,go n-ithe sibh,ithigi,,
itheann siad,d'ith siad,d'ithidis,iosfaidh siad,d'íosfaidís,go n-ithe siad,ithidis,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody eats,somebody ate,sby. used to eat,somebody will eat,sby. would eat,may sby. eat,let somebody eat,,
itear,itheadh,d'iti,iosfar,d'íosfaí,go n-itear,itear,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not eat,he did not eat,he used not eat,he will not eat,he would not eat,may he not eat,do not eat,,
ni itheann se,nior ith sé,ni itheadh sé,ni iosfaidh sé,ni iosfadh sé,nár ithe sé,ná hith,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he eat?,did he eat?,used he eat?,will he eat?, would he eat?,,,,
an itheann sé?,ar ith sé?,an itheadh sé?,an iosfaidh sé?,an iosfadh sé?   ,,,,
