BEIR catch   Beirim  / catch.,,,,,,,,
,,,,,,,,
LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁITH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.
I catch,I caught,I used to catch,I shall catch,I would catch,that I may catch,catch,catching,caught
beirim,rug mé,bheirinn,béarfaidh mé,bhéarfainn,go mbeire mé,beirim,breith,beirthe
beireann tú,rug tú,bheirteá,béarfaidh tu,bhéarfá,go mbeire tú,beir,,
beireann sé,rug sé,bheireadh sé,béarfaidh sé,bhéarfadh sé,go mbeire sé,beireadh sé,,
beirimid,rugamar,bheirimís,béarfaimid,bhéarfaimis,go mbeirimid,beirimis,,
beireann sibh,rug sibh,bheireadh sibh,béarfaidh sibh,bhéarfadh sibh,go mbeire sibh,beirigí,,
beireann siad,rug siad,bheiridis,béarfaidh siad,bhéarfaidís,go mbeire siad,beiridís,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,
somebody catches,somebody caught,sby. used to catch,somebody will catch,sby. would catch,may sby. catch,let somebody catch,,
beirtear,rugadh,bheirtí,béarfar,bhéarfaí,go mbeirtear,beirtear,,
Diultach,Diultach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,
he does not catch,he did not catch,he used not catch,he will not catch,he would not catch,may he not catch,do not catch,,
ní bheireann sé,nior rag sé,ni bheireadh sé,ní bhéarfaidh sé,ní bhéarfadh sé,nár bheire sé,ná beir,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,
does he catch?,did he catch?,used he catch?,will he catch?,would he catch?,,,,
an mbeireann sé?,ar rug sé?,an mbeireadh sé?,an mbéarfaidh sé?,an mbéarfadh sé? ,,,,
,,,,,,,,
